"Symbol","Date/Time","Buy/Sell","Quantity","Price","Commission"
"AMD","2025-09-22;23:45:17 AEST","SELL","-100","160.07","-1.0188"
"AMD","2025-09-22;23:45:17 AEST","SELL","-100","160.07","-0.0188"
"AMD","2025-09-22;23:45:17 AEST","SELL","-200","160.07","-1.0376"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-1.0188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.0188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.5188"
"AMD","2025-09-22;23:47:01 AEST","SELL","-100","160.47","-0.5188"
"AMD","2025-09-22;23:47:36 AEST","SELL","-400","160.28","-2.0752"
"AMD","2025-09-22;23:57:03 AEST","SELL","-200","161.02","-1.0376"
"AMD","2025-09-22;23:57:03 AEST","SELL","-200","161.02","-1.0376"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-1.0188"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-0.0188"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-0.5188"
"AMD","2025-09-23;00:11:12 AEST","SELL","-100","161.21","-0.5188"
"AMD","2025-09-23;00:12:52 AEST","SELL","-100","161.5","-1.0188"
"AMD","2025-09-23;00:12:52 AEST","SELL","-100","161.5","-0.0188"
"AMD","2025-09-23;00:12:52 AEST","SELL","-200","161.5","-1.0376"
"AMD","2025-09-23;23:36:38 AEST","SELL","-200","162.2","-1.0376"
"AMD","2025-09-23;23:36:38 AEST","SELL","-100","162.2","-0.5188"
"AMD","2025-09-23;23:36:38 AEST","SELL","-100","162.2","-0.5188"
"AMD","2025-09-23;23:37:18 AEST","SELL","-100","162.36","-1.0188"
"AMD","2025-09-23;23:37:18 AEST","SELL","-100","162.35","-0.0188"
"AMD","2025-09-23;23:37:18 AEST","SELL","-100","162.36","-0.5188"
"AMD","2025-09-23;23:37:18 AEST","SELL","-100","162.35","-0.5188"
"AMD","2025-09-23;23:37:45 AEST","SELL","-100","162.17","-1.0188"
"AMD","2025-09-23;23:37:45 AEST","SELL","-57","162.17","-0.010716"
"AMD","2025-09-23;23:37:46 AEST","SELL","-143","162.18","-0.526884"
"AMD","2025-09-23;23:37:46 AEST","SELL","-100","162.17","-0.5188"
"AMD","2025-09-23;23:38:17 AEST","SELL","-300","161.98","-1.5564"
"AMD","2025-09-23;23:38:17 AEST","SELL","-100","161.93","-0.5188"
"AMD","2025-09-23;23:41:34 AEST","SELL","-100","161.46","-1.0188"
"AMD","2025-09-23;23:41:34 AEST","SELL","-100","161.5","-0.0188"
"AMD","2025-09-23;23:41:34 AEST","SELL","-100","161.46","-0.5188"
"AMD","2025-09-23;23:41:34 AEST","SELL","-100","161.46","-0.5188"
"AMPX","2025-09-25;23:43:52 AEST","BUY","100","10.09","-1.0022"
"AMPX","2025-09-25;23:43:52 AEST","BUY","296","10.09","-0.986512"
